tag,posts
a,205
blockquote,41
br,64
col,1
colgroup,1
div,162
em,63
figcaption,68
figure,101
h1,86
h2,92
h3,91
hr,55
iframe,5
img,101
li,105
ol,13
p,212
span,1
strong,94
table,1
tbody,1
td,1
tr,1
ul,100
